,FIPS,PCT_DIABETES_ADULTS10
0,01001,0.118
1,01003,0.118
2,01005,0.142
3,01007,0.111
4,01009,0.14
5,01011,0.175
6,01013,0.16
7,01015,0.139
8,01017,0.15
9,01019,0.136
10,01021,0.125
11,01023,0.173
12,01025,0.157
13,01027,0.147
14,01029,0.133
15,01031,0.126
16,01033,0.137
17,01035,0.177
18,01037,0.156
19,01039,0.137
20,01041,0.148
21,01043,0.13
22,01045,0.139
23,01047,0.151
24,01049,0.129
25,01051,0.123
26,01053,0.132
27,01055,0.141
28,01057,0.158
29,01059,0.142
30,01061,0.136
31,01063,0.194
32,01065,0.163
33,01067,0.143
34,01069,0.13
35,01071,0.134
36,01073,0.117
37,01075,0.138
38,01077,0.125
39,01079,0.141
40,01081,0.098
41,01083,0.107
42,01085,0.193
43,01087,0.166
44,01089,0.117
45,01091,0.174
46,01093,0.129
47,01095,0.136
48,01097,0.121
49,01099,0.139
50,01101,0.143
51,01103,0.119
52,01105,0.182
53,01107,0.157
54,01109,0.146
55,01111,0.148
56,01113,0.132
57,01115,0.135
58,01117,0.089
59,01119,0.16
60,01121,0.141
61,01123,0.14
62,01125,0.105
63,01127,0.151
64,01129,0.134
65,01131,0.181
66,01133,0.121
67,02013,0.077
68,02016,0.067
69,02020,0.07
70,02050,0.067
71,02060,0.083
72,02068,0.068
73,02070,0.082
74,02090,0.061
75,02100,0.083
76,02110,0.063
77,02122,0.067
78,02130,0.072
79,02150,0.061
80,02164,0.084
81,02170,0.068
82,02180,0.078
83,02185,0.076
84,02188,0.072
85,02220,0.075
86,02240,0.067
87,02261,0.067
88,02270,0.067
89,02282,0.086
90,02290,0.082
91,04001,0.149
92,04003,0.09
93,04005,0.073
94,04007,0.112
95,04009,0.108
96,04011,0.093
97,04012,0.134
98,04013,0.08
99,04015,0.12
100,04017,0.116
101,04019,0.079
102,04021,0.104
103,04023,0.064
104,04025,0.093
105,04027,0.097
106,05001,0.144
107,05003,0.119
108,05005,0.108
109,05007,0.087
110,05009,0.118
111,05011,0.14
112,05013,0.12
113,05015,0.114
114,05017,0.152
115,05019,0.115
116,05021,0.127
117,05023,0.129
118,05025,0.13
119,05027,0.127
120,05029,0.129
121,05031,0.115
122,05033,0.102
123,05035,0.14
124,05037,0.13
125,05039,0.136
126,05041,0.137
127,05043,0.126
128,05045,0.104
129,05047,0.121
130,05049,0.122
131,05051,0.111
132,05053,0.11
133,05055,0.149
134,05057,0.143
135,05059,0.115
136,05061,0.127
137,05063,0.117
138,05065,0.11
139,05067,0.138
140,05069,0.152
141,05071,0.119
142,05073,0.13
143,05075,0.124
144,05077,0.132
145,05079,0.109
146,05081,0.123
147,05083,0.127
148,05085,0.108
149,05087,0.135
150,05089,0.142
151,05091,0.121
152,05093,0.135
153,05095,0.141
154,05097,0.117
155,05099,0.145
156,05101,0.126
157,05103,0.131
158,05105,0.125
159,05107,0.159
160,05109,0.123
161,05111,0.122
162,05113,0.114
163,05115,0.119
164,05117,0.124
165,05119,0.111
166,05121,0.123
167,05123,0.126
168,05125,0.114
169,05127,0.125
170,05129,0.123
171,05131,0.114
172,05133,0.138
173,05135,0.12
174,05137,0.135
175,05139,0.119
176,05141,0.128
177,05143,0.081
178,05145,0.107
179,05147,0.133
180,05149,0.129
181,06001,0.078
182,06003,0.096
183,06005,0.098
184,06007,0.081
185,06009,0.091
186,06011,0.078
187,06013,0.076
188,06015,0.088
189,06017,0.081
190,06019,0.09
191,06021,0.078
192,06023,0.084
193,06025,0.074
194,06027,0.093
195,06029,0.078
196,06031,0.075
197,06033,0.1
198,06035,0.075
199,06037,0.077
200,06039,0.091
201,06041,0.055
202,06043,0.094
203,06045,0.077
204,06047,0.08
205,06049,0.088
206,06051,0.066
207,06053,0.069
208,06055,0.072
209,06057,0.072
210,06059,0.074
211,06061,0.072
212,06063,0.093
213,06065,0.095
214,06067,0.092
215,06069,0.074
216,06071,0.085
217,06073,0.075
218,06075,0.069
219,06077,0.095
220,06079,0.067
221,06081,0.072
222,06083,0.066
223,06085,0.076
224,06087,0.06
225,06089,0.09
226,06091,0.095
227,06093,0.088
228,06095,0.104
229,06097,0.066
230,06099,0.083
231,06101,0.084
232,06103,0.089
233,06105,0.095
234,06107,0.074
235,06109,0.079
236,06111,0.071
237,06113,0.07
238,06115,0.077
239,08001,0.067
240,08003,0.065
241,08005,0.06
242,08007,0.065
243,08009,0.077
